Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-05-31 00:00:00+05:30,125915.22356076822,126714.00450107362,124844.34191927084,125247.703125,14691,0.0,0.0
2024-06-03 00:00:00+05:30,128711.12572314008,128711.12572314008,126514.49755375928,126784.3515625,17642,0.0,0.0
2024-06-04 00:00:00+05:30,126813.90665365258,126813.90665365258,116177.36682992049,121724.578125,19731,0.0,0.0
2024-06-05 00:00:00+05:30,122969.54768230868,128140.31138008051,121838.10645925759,127772.203125,9992,0.0,0.0
2024-06-06 00:00:00+05:30,128311.70198493617,128509.0607974676,125749.00962280926,125947.21875,10281,0.0,0.0
2024-06-07 00:00:00+05:30,125947.2218561442,127263.24374544944,125617.15934125663,127093.9453125,7440,0.0,0.0
2024-06-10 00:00:00+05:30,128011.15026420652,128012.14879890854,125864.69850853478,126777.2578125,14250,0.0,0.0
2024-06-11 00:00:00+05:30,126783.95020672739,127313.17359500467,125870.29096092794,126073.890625,4595,0.0,0.0
2024-06-12 00:00:00+05:30,126214.77734978635,126714.04466525228,125645.65941646602,125892.703125,5185,0.0,0.0
2024-06-13 00:00:00+05:30,125916.67110494185,126579.54209542094,125666.73319993833,125894.8515625,2995,0.0,0.0
2024-06-14 00:00:00+05:30,125894.25421177741,126140.89227830958,125203.26821161441,125396.6875,5958,0.0,0.0
2024-06-18 00:00:00+05:30,125396.68884461618,126144.84096336414,125396.68884461618,125663.796875,3439,0.0,0.0
2024-06-19 00:00:00+05:30,125715.51233505737,126013.02885420913,124567.19748847026,124765.65625,3973,0.0,0.0
2024-06-20 00:00:00+05:30,125016.55095550089,126514.353083562,124432.75917293082,126116.0859375,6497,0.0,0.0
2024-06-21 00:00:00+05:30,126114.93308299604,126913.76084599204,124816.83796812751,125105.7109375,7878,0.0,0.0
2024-06-24 00:00:00+05:30,125509.81907242275,126159.26447328208,124317.56865496072,125061.7734375,9053,0.0,0.0
2024-06-25 00:00:00+05:30,125815.36792638082,127582.77428534663,125276.45564667531,126768.8203125,6690,0.0,0.0
2024-06-26 00:00:00+05:30,127293.20159164062,127293.20159164062,125616.16258887031,125742.9296875,5775,0.0,0.0
2024-06-27 00:00:00+05:30,125742.93457299157,125969.6019552004,124617.18028500312,125027.53125,6984,0.0,0.0
2024-06-28 00:00:00+05:30,125327.08987348869,130645.68358781311,125216.20571446442,129269.453125,21408,0.0,0.0
2024-07-01 00:00:00+05:30,129410.59883778868,130308.7808174461,127514.38140658308,129477.953125,11010,0.0,0.0
2024-07-02 00:00:00+05:30,129579.84287348145,129769.51765263555,127937.3547708839,128498.53125,6210,0.0,0.0
2024-07-03 00:00:00+05:30,129033.14643658935,129135.54304661074,127812.43780211214,128738.9765625,6825,0.0,0.0
2024-07-04 00:00:00+05:30,128786.0176571409,128960.76123605153,127642.74219001278,128329.5390625,4989,0.0,0.0
2024-07-05 00:00:00+05:30,128311.70001285613,130458.54946832416,128012.13962372106,128762.0859375,7882,0.0,0.0
2024-07-08 00:00:00+05:30,128984.7221354073,131038.20875865551,127871.30913170819,128582.4140625,20120,0.0,0.0
2024-07-09 00:00:00+05:30,129310.24286751756,131457.04565321276,128571.12436662918,131158.078125,7879,0.0,0.0
2024-07-10 00:00:00+05:30,131805.5836611911,131805.5836611911,128012.15028420443,130680.6875,7283,0.0,0.0
2024-07-11 00:00:00+05:30,130209.92523482052,131140.51278191453,130089.10253443161,130414.5234375,3872,0.0,0.0
2024-07-12 00:00:00+05:30,130418.61415679769,130807.99587449628,129031.79771050144,129500.859375,4312,0.0,0.0
